Engine 1 speed:4.27402, engine 2 speed: 4.84472, engine 3 speed: 4.01876, engine 4 speed: 4.8625
Engine 1 speed:4.08943, engine 2 speed: 4.83583, engine 3 speed: 4.18966, engine 4 speed: 4.88508
Engine 1 speed:4.26334, engine 2 speed: 4.88104, engine 3 speed: 4.00106, engine 4 speed: 4.85456
Engine 1 speed:4.06754, engine 2 speed: 4.86514, engine 3 speed: 4.18379, engine 4 speed: 4.88353
Engine 1 speed:4.22007, engine 2 speed: 4.89733, engine 3 speed: 4.01394, engine 4 speed: 4.86866
Engine 1 speed:4.11138, engine 2 speed: 4.88615, engine 3 speed: 4.10788, engine 4 speed: 4.89459
Engine 1 speed:4.13882, engine 2 speed: 4.95299, engine 3 speed: 4.06296, engine 4 speed: 4.84524
Engine 1 speed:4.04744, engine 2 speed: 4.93968, engine 3 speed: 4.14094, engine 4 speed: 4.87195
Engine 1 speed:4.1994, engine 2 speed: 4.90956, engine 3 speed: 3.9826, engine 4 speed: 4.90844
Engine 1 speed:4.0485, engine 2 speed: 4.86455, engine 3 speed: 4.11701, engine 4 speed: 4.96993
Engine 1 speed:4.1777, engine 2 speed: 5.02533, engine 3 speed: 3.96205, engine 4 speed: 4.83493
Engine 1 speed:4.04554, engine 2 speed: 4.91353, engine 3 speed: 4.0874, engine 4 speed: 4.95353
Engine 1 speed:4.17018, engine 2 speed: 4.98241, engine 3 speed: 3.94722, engine 4 speed: 4.90019
Engine 1 speed:3.9901, engine 2 speed: 4.95784, engine 3 speed: 4.11079, engine 4 speed: 4.94128
Engine 1 speed:4.01496, engine 2 speed: 5.02107, engine 3 speed: 4.06638, engine 4 speed: 4.8976
Engine 1 speed:4.1918, engine 2 speed: 5.17248, engine 3 speed: 3.8741, engine 4 speed: 4.76162
Engine 1 speed:4.27283, engine 2 speed: 5.22158, engine 3 speed: 3.77369, engine 4 speed: 4.7319
Engine 1 speed:4.23495, engine 2 speed: 5.30574, engine 3 speed: 3.79057, engine 4 speed: 4.66874
Engine 1 speed:4.17349, engine 2 speed: 5.21289, engine 3 speed: 3.8492, engine 4 speed: 4.76442
Engine 1 speed:4.43738, engine 2 speed: 5.22799, engine 3 speed: 3.5801, engine 4 speed: 4.75452
Engine 1 speed:4.1978, engine 2 speed: 5.34109, engine 3 speed: 3.79677, engine 4 speed: 4.66435
Engine 1 speed:4.24021, engine 2 speed: 5.21282, engine 3 speed: 3.73028, engine 4 speed: 4.81669
Engine 1 speed:4.20982, engine 2 speed: 5.41976, engine 3 speed: 3.73578, engine 4 speed: 4.63464
Engine 1 speed:4.25617, engine 2 speed: 5.30869, engine 3 speed: 3.66173, engine 4 speed: 4.77341
Engine 1 speed:4.1322, engine 2 speed: 5.25056, engine 3 speed: 3.77336, engine 4 speed: 4.84389
Engine 1 speed:4.1943, engine 2 speed: 5.38319, engine 3 speed: 3.68885, engine 4 speed: 4.73366
Engine 1 speed:4.18131, engine 2 speed: 5.28367, engine 3 speed: 3.68256, engine 4 speed: 4.85246
Engine 1 speed:4.17615, engine 2 speed: 5.32116, engine 3 speed: 3.67219, engine 4 speed: 4.8305
Engine 1 speed:4.1057, engine 2 speed: 5.40804, engine 3 speed: 3.72836, engine 4 speed: 4.75791
Engine 1 speed:4.15531, engine 2 speed: 5.27187, engine 3 speed: 3.65434, engine 4 speed: 4.91848
Engine 1 speed:4.05571, engine 2 speed: 5.31625, engine 3 speed: 3.73992, engine 4 speed: 4.88812
Engine 1 speed:4.13269, engine 2 speed: 5.32043, engine 3 speed: 3.62691, engine 4 speed: 4.91997
Engine 1 speed:4.00173, engine 2 speed: 5.51286, engine 3 speed: 3.72342, engine 4 speed: 4.76199
Engine 1 speed:4.12504, engine 2 speed: 5.4123, engine 3 speed: 3.58882, engine 4 speed: 4.87384
Engine 1 speed:4.03784, engine 2 speed: 5.37783, engine 3 speed: 3.63889, engine 4 speed: 4.94544
Engine 1 speed:3.9706, engine 2 speed: 5.38306, engine 3 speed: 3.6817, engine 4 speed: 4.96463
Engine 1 speed:4.15751, engine 2 speed: 5.39548, engine 3 speed: 3.47659, engine 4 speed: 4.97042
Engine 1 speed:3.99207, engine 2 speed: 5.48281, engine 3 speed: 3.62316, engine 4 speed: 4.90196
Engine 1 speed:4.10262, engine 2 speed: 5.42299, engine 3 speed: 3.48675, engine 4 speed: 4.98764
Engine 1 speed:3.9622, engine 2 speed: 5.48543, engine 3 speed: 3.61333, engine 4 speed: 4.93904
Engine 1 speed:4.08592, engine 2 speed: 5.44096, engine 3 speed: 3.46101, engine 4 speed: 5.01211
Engine 1 speed:3.93469, engine 2 speed: 5.56814, engine 3 speed: 3.58459, engine 4 speed: 4.91258
Engine 1 speed:4.03103, engine 2 speed: 5.48626, engine 3 speed: 3.4679, engine 4 speed: 5.01481
Engine 1 speed:3.93162, engine 2 speed: 5.47943, engine 3 speed: 3.53566, engine 4 speed: 5.05329
Engine 1 speed:4.03341, engine 2 speed: 5.44483, engine 3 speed: 3.40963, engine 4 speed: 5.11214
Engine 1 speed:3.90818, engine 2 speed: 5.50415, engine 3 speed: 3.51443, engine 4 speed: 5.07324
Engine 1 speed:3.98396, engine 2 speed: 5.58394, engine 3 speed: 3.40555, engine 4 speed: 5.02656
Engine 1 speed:3.88939, engine 2 speed: 5.49741, engine 3 speed: 3.47503, engine 4 speed: 5.13816
Engine 1 speed:4.00021, engine 2 speed: 5.53583, engine 3 speed: 3.33348, engine 4 speed: 5.13049
Engine 1 speed:3.84382, engine 2 speed: 5.55292, engine 3 speed: 3.45735, engine 4 speed: 5.14591
Engine 1 speed:3.89888, engine 2 speed: 5.58868, engine 3 speed: 3.37034, engine 4 speed: 5.1421
Engine 1 speed:3.78943, engine 2 speed: 5.67595, engine 3 speed: 3.44728, engine 4 speed: 5.08734
Engine 1 speed:3.88079, engine 2 speed: 5.59462, engine 3 speed: 3.31996, engine 4 speed: 5.20463
Engine 1 speed:3.77183, engine 2 speed: 5.75424, engine 3 speed: 3.39211, engine 4 speed: 5.08182
Engine 1 speed:3.80929, engine 2 speed: 5.56681, engine 3 speed: 3.3321, engine 4 speed: 5.29181
Engine 1 speed:3.79849, engine 2 speed: 5.76083, engine 3 speed: 3.30945, engine 4 speed: 5.13124
Engine 1 speed:3.82709, engine 2 speed: 5.60749, engine 3 speed: 3.24934, engine 4 speed: 5.31608
Engine 1 speed:3.76005, engine 2 speed: 5.82655, engine 3 speed: 3.27727, engine 4 speed: 5.13613
Engine 1 speed:3.81281, engine 2 speed: 5.59646, engine 3 speed: 3.1797, engine 4 speed: 5.41103
Engine 1 speed:3.64306, engine 2 speed: 5.82492, engine 3 speed: 3.32314, engine 4 speed: 5.20888
Engine 1 speed:3.77901, engine 2 speed: 5.75048, engine 3 speed: 3.14231, engine 4 speed: 5.32821
Engine 1 speed:3.62468, engine 2 speed: 5.8861, engine 3 speed: 3.24692, engine 4 speed: 5.2423
Engine 1 speed:3.65141, engine 2 speed: 5.68643, engine 3 speed: 3.17061, engine 4 speed: 5.49155
Engine 1 speed:3.58583, engine 2 speed: 5.90062, engine 3 speed: 3.19879, engine 4 speed: 5.31476
Engine 1 speed:3.70911, engine 2 speed: 5.91717, engine 3 speed: 3.02694, engine 4 speed: 5.34679
Engine 1 speed:3.58081, engine 2 speed: 5.9943, engine 3 speed: 3.1026, engine 4 speed: 5.32229
Engine 1 speed:3.644, engine 2 speed: 5.80264, engine 3 speed: 2.98886, engine 4 speed: 5.5645
Engine 1 speed:3.43749, engine 2 speed: 5.9623, engine 3 speed: 3.14707, engine 4 speed: 5.45313
Engine 1 speed:3.55639, engine 2 speed: 6.06687, engine 3 speed: 2.98184, engine 4 speed: 5.3949
Engine 1 speed:3.49057, engine 2 speed: 6.07061, engine 3 speed: 2.99754, engine 4 speed: 5.44128
Engine 1 speed:3.56768, engine 2 speed: 5.96268, engine 3 speed: 2.88097, engine 4 speed: 5.58867
Engine 1 speed:3.44065, engine 2 speed: 6.06004, engine 3 speed: 2.96944, engine 4 speed: 5.52986
Engine 1 speed:3.43606, engine 2 speed: 6.1574, engine 3 speed: 2.93316, engine 4 speed: 5.47338
Engine 1 speed:3.32829, engine 2 speed: 6.01807, engine 3 speed: 2.99539, engine 4 speed: 5.65825
Engine 1 speed:3.50051, engine 2 speed: 6.07256, engine 3 speed: 2.75931, engine 4 speed: 5.66762
Engine 1 speed:3.32862, engine 2 speed: 6.13333, engine 3 speed: 2.87205, engine 4 speed: 5.66601
Engine 1 speed:3.24746, engine 2 speed: 6.25838, engine 3 speed: 2.8918, engine 4 speed: 5.60236
Engine 1 speed:3.30104, engine 2 speed: 6.28838, engine 3 speed: 2.77989, engine 4 speed: 5.63069
Engine 1 speed:3.1655, engine 2 speed: 6.16139, engine 3 speed: 2.88418, engine 4 speed: 5.78893
Engine 1 speed:3.29617, engine 2 speed: 6.26906, engine 3 speed: 2.67804, engine 4 speed: 5.75673
Engine 1 speed:3.24078, engine 2 speed: 6.28516, engine 3 speed: 2.67683, engine 4 speed: 5.79723
Engine 1 speed:3.22208, engine 2 speed: 6.37752, engine 3 speed: 2.63472, engine 4 speed: 5.76568
Engine 1 speed:3.07898, engine 2 speed: 6.32162, engine 3 speed: 2.71913, engine 4 speed: 5.88028
Engine 1 speed:3.15898, engine 2 speed: 6.47923, engine 3 speed: 2.56619, engine 4 speed: 5.7956
Engine 1 speed:2.75442, engine 2 speed: 6.14354, engine 3 speed: 2.9027, engine 4 speed: 6.19935
Engine 1 speed:2.79504, engine 2 speed: 6.21201, engine 3 speed: 2.81176, engine 4 speed: 6.18119
Engine 1 speed:2.83746, engine 2 speed: 6.27632, engine 3 speed: 2.68377, engine 4 speed: 6.20245
Engine 1 speed:2.72868, engine 2 speed: 6.34415, engine 3 speed: 2.72326, engine 4 speed: 6.2039
Engine 1 speed:2.6679, engine 2 speed: 6.2456, engine 3 speed: 2.71012, engine 4 speed: 6.37638
